Gene	granule	purkinje	basket	astrocyte	oligo	opc
Ctnnbl1	6774.700000000001	6485.1	6809	5510.3	2760.4	4916.200000000001
Gjb6	7191.5	5998.9	6516.6	346	7138.3	4181.1
Trmt1l	7188.9	8299	2553.3999999999996	6854.3	3319.9	6371.6
Kdr	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Opcml	2342.3	7275	4571.8	9500	9196.9	634.6
Ahcy	4688.9	3216.3	4754.5	5016.1	3512.5	4596.9
Rnf111	6157.700000000001	7116.6	3845.1000000000004	7050.700000000001	3364.9	7146.4
Fut8	1510.2	3042.6	9344.099999999999	7056	4950.9	8268.2
Upf1	3216.3999999999996	7566.1	7036.200000000001	5037.3	7988	2997.6
B4galnt1	4706.7	414.70000000000005	2899	6700.9	10652.7	9058.5
Fam134c	4494.200000000001	8887.3	7343.2	5977.5	327.8	6787.7
Nek9	3756	8610.3	2458	6503.200000000001	7482.6	6052.700000000001
Slc26a10	5786.4	2562.1	5856.5	6041	5747.9	2934.5
Fam222a	10746.5	369.2	5176.2	8611.8	2413.7	7000.3
Lrp8	3690.7	113.8	6690.9	4661.4	10642.8	8539.7
Zfp711	5864.2	4445.9	4817.2	6172.6	5821.5	1877
Ap3b2	708.3	5391.6	5340.3	5309.4	11299.9	6091.9
Pcnx3	6657.299999999999	7408.3	7003.7	3749.3	4604.9	4909.3
Ppp1r1b	7575.6	348.9	5871.7	3047.9	7463	7350.200000000001
Rabgef1	3191.7	5299.4	8386.400000000001	5460	5706.1	4338.4
Pea15a	3464.1	9786.2	6986.7	4680.4	790.6	8747
Pcyt2	5617.1	10630	4854.799999999999	2843.6	1118.7	9176.6
Pof1b	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Pdf	5655.8	4235.5	5025.4	5928.5	2582.4	5450.6
Tti1	3686	9607.4	7486.1	1700.1999999999998	4209.3	6665.5
Arpp21	125.2	5685.4	6841	7048	6788.4	2624.9
Tubg1	7387.1	7316.1	3047.8	4066.8999999999996	6874.700000000001	5244.700000000001
Iffo1	6432.799999999999	9694.9	9085.9	5008.7	3459.2	654
Rnft1	8114.7	7326.9	3475.6	5853.4	3419.9	5497.5
Arhgef10l	1187	8678.6	7840.9	2654.1000000000004	9395.2	3645.1000000000004
Rps6kb1	5599.6	2529.7	2360.4	8505.8	6248.4	9226.7
Sltm	2714.6	7996.2	5143.3	8012.799999999999	4070.1	6370.4
Tubg2	7163.700000000001	4959.9	2943.6000000000004	8714.599999999999	9626.7	821.8
Stard3	3954.1000000000004	9783.2	7076.9	4917.6	381.2	8141.1
