Gene	granule	basket	astrocyte	oligo	opc
Rabgef1	6842.625	2372.5	5602	4090.375	9921.5
Pea15a	7690.125	857.375	4905.875	5055.25	10887.125
Pcyt2	4758.75	4616.25	3305.5	4671.75	4546.5
Pof1b	3571.5	3445.5	4211.5	3479.5	3376.25
Pdf	4415.75	6102.75	6981	1645.5	6468.875
Tti1	9574.125	7476.625	3890.375	4079.375	3217.5
Arpp21	2354.875	11152.25	6173.125	8070.75	866
Tubg1	6256.75	5891.75	3315.25	4226.75	6002.375
Iffo1	10331	7692.625	6659	3529.75	345.5
Rnft1	1665.75	3581.375	8239.875	7921.875	6087.25
Arhgef10l	3132.375	429.625	6414.375	10121.875	8459.5
Rps6kb1	4032.5	3923.75	4107.5	6630.25	9863.375
Sltm	5757	9665.25	4329.125	1430	7260.875
Tubg2	7752.5	8214.25	2412.75	3556.125	6043.5
Stard3	8599.625	5257.25	971.375	4334.75	9298.875
Irak3	6931.375	6816.5	3553	3437.625	4610.5
Sh2b2	4696.25	4559.125	3561.25	4598.875	4488.375
Gapdh	6538.875	864.25	7924.875	3253.125	10503.5
Agtr2	3571.5	3445.5	4211.5	3479.5	3376.25
Ccdc92	5549.875	2098	7524.5	3989.125	9906.875
Loxl2	5195.5	224.25	7048.625	6593.5	6526.5
Zic2	2358.75	5626	1627	7785.5	11381.5
Gata2	3571.5	3445.5	4211.5	3479.5	3376.25
Sirt7	4821.875	4681.625	5338	2819.625	4631.125
Tmed10	10238.75	6344.375	2377.5	3257.125	6271.625
Ift88	9206	5555.25	3956.25	1641.625	7989.875
Tgm2	3571.5	3445.5	4211.5	3479.5	3376.25
Mafg	8018.125	7974.75	919.5	5692	5835.125
Trpv4	3571.5	3445.5	4211.5	3479.5	3376.25
Inpp5k	4654.125	4510.75	3754.125	4552.75	4433.375
Fam63b	774.375	3748.625	10436.625	5316.875	8245.875
Pank2	7779.625	2960.25	5698.75	9936.25	3226.125
Rprd1b	5371.875	7260.75	4126.625	6467.5	6923.25
Acadm	1667.125	3105	8165.125	6139.875	9554.25
Adam10	879.75	6457.25	9467	3421.125	8162
Eif4h	3283.875	5328.625	4414.5	7401.375	9166.625
Osbpl5	8178.625	676.875	8305.5	6444.75	3747
