Gene	granule	basket	astrocyte	oligo	opc
Tti1	4131.5	8375.375	1816.375	4461.75	7830.375
Arpp21	140.25	7365.25	7534.5	7348.625	3084.125
Tubg1	7971.75	3481.75	4072	7715.875	5546.625
Iffo1	7524.125	10436.5	5948.25	3996	705.625
Rnft1	8062.375	3787.375	6155.625	3505.75	7001.625
Arhgef10l	1413.625	8934.125	3217.25	10606.5	4420.875
Rps6kb1	4690.75	1784.5	8008.75	5383.5	8926.125
Sltm	2712.75	5622	8929.875	4296.75	7049.875
Tubg2	6662.625	3141.75	8450.875	9611.875	748.875
Stard3	4732	8258.25	5774.375	397.125	9555.875
Irak3	6345.75	6373	6611.75	1147.625	4851.875
Sh2b2	5514	5531.25	351.625	5490	5460
Gapdh	7972.25	2530.25	3921.875	8473.25	6924.25
Agtr2	3624	3613.625	3913	3614	3540.5
Ccdc92	3376.375	1246.125	7304.5	7943	7749.25
Loxl2	5943.875	5957.75	6183.5	3332.75	3974.125
Zic2	1573.375	2546.5	6204.75	10396	8043.125
Gata2	3624	3613.625	3913	3614	3540.5
Sirt7	7312.625	7598.25	4109.875	1752.75	8978.125
Tmed10	9495.25	7635.125	6205.875	828.125	4338.125
Ift88	7126.75	4287.375	5893.625	8563.75	2764.375
Tgm2	3624	3613.625	3913	3614	3540.5
Mafg	6382.125	10184.625	5125.375	3549.625	4366.875
Trpv4	3624	3613.625	3913	3614	3540.5
Inpp5k	1016	10017.5	8024.5	3854.125	5731.625
Fam63b	1325.5	2538.625	5700	9044	10012.25
Pank2	1816.875	4448.75	7353.375	7314.5	8545.375
Rprd1b	4450.875	3817.5	7433.75	4271.5	8346.125
Acadm	4797.75	4858.375	3267.5	4773.5	4651.125
Adam10	6086.625	3905.25	7151.875	1132	10308
Eif4h	1200.875	7951.5	6512.125	3339.125	9532.75
Osbpl5	8388.25	1674.75	3816.375	8275.875	5484.125
Chm	5848.125	4450.875	6031.375	5752	3412.25
Pycr1	6058.375	6101.625	5278.75	6036.875	1378.875
Tmem248	6894.5	3650	4911.375	7152.375	6781.875
Mdm4	9605.25	5979	7518.25	865	4689.625
Pnmt	3624	3613.625	3913	3614	3540.5
Casq1	4934.5	4959.125	5224	2490.25	4810.25
Cyb5d2	4846	4839.125	5122.875	4840.625	2592.75
Pgap3	6207.25	7847	6664.5	4532.125	748.625
Lipc	3624	3613.625	3913	3614	3540.5
Cntnap1	377.75	2944.5	5665.125	9014.125	10626.5
Pdcd6ip	6211.75	9278.375	6361.625	1031.125	5773.75
Bud31	6341.5	6916.5	9841.375	3134.25	1159.875
