Gene	Granule	Purkinje	Basket	Astrocyte	Oligo	OPC
Tcf24	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Arfgef1	10175.4	22455.6	1145.6	18499.300000000003	14854.4	6332.2
Adhfe1	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Prex2	7954.8	6698.2	7874.6	122.2	7881.5	7975
Mir467e	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Slco5a1	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Ncoa2	6778	22162.3	17817.300000000003	10217.2	1927.6999999999998	14704.7
Sulf1	11202.400000000001	9988.2	11168.2	1039	11297.1	7591.5
Eya1	7493.2	6073.5	7450.8	7509	7535.700000000001	2750.9
Kcnb2	3616.3	5944.8	7350	7311.299999999999	7254.4	7314.1
Tceb1	10760.6	18007.9	5230.1	19302.9	1524.5	15371.3
Stau2	15121.2	1309.5	6302.5	14844.4	15127.1	10500.7
Sbspon	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Rdh10	6270	17516.3	10912.8	2058.8999999999996	14437.9	18157.6
Jph1	4794.4	15189.4	10498.7	15866.7	743.9	16046.9
Gm16070	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Defb44-ps	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Tfap2d	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Pkhd1	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Kcnq5	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Rims1	59.6	15364.5	9575	19615.5	19775.6	5575
Smap1	1812	22563.3	5844.799999999999	18463.9	14544.900000000001	10036.099999999999
Col9a1	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Col19a1	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Lgsn	3893.1	2383.4	3794.6	3958.4	3772.4	3896
4931428L18Rik	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Dst	9490.8	23047.2	19438.1	2172.9	10043.9	5922.6
Ptpn18	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Plekhb2	10894.900000000001	6000.1	933.8	14899.8	15071.3	15037
Lman2l	1338.1	13537	15101.7	9705.2	18986.3	10584.8
Fam178b	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Uggt1	7129.1	1841.4	10767.1	14327.9	14563.5	10942.5
Inpp4a	10461.099999999999	181.8	19308.9	6378.200000000001	23150.5	13828.2
4930594C11Rik	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Cnga3	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Mgat4a	6441	9648.400000000001	15234.5	14908.6	15146.7	1751.6
Tmem131	6173.9	13703.5	11022.5	2497.1000000000004	14895.5	14846.1
2010300C02Rik	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Mitd1	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Eif5b	2029.1	22153.4	6074	14072.099999999999	13843.9	18489.1
Aff3	7252.1	5860.6	7182.8	3697.5	7229.2	7283.1
Rfx8	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Npas2	7228.6	5834.700000000001	7159.6	3811.3	7207	7261.2
Tbc1d8	1612	6372.8	7760.6	7703.1	7636.4	7710.1
Map4k4	14745.8	19277.300000000003	23982.1	1285.9	5379	5347.5
Il1r1	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Slc9a2	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Il1r2	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Mrps9	6680.3	13630.6	1729.8	18642.9	10295.6	22324.8
Nck2	7270.5	5879.9	7200.6	3602.4	7244.700000000001	7303
Uxs1	5893.7	9910.2	2121.5	14919.8	15133.4	15088.4
Gulp1	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Ercc5	14995.2	21901.6	10732.7	14448.2	1869.5	6212.1
Col5a2	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Dnah7c	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Tmeff2	14424.599999999999	10127.4	20119.699999999997	23580.6	169.6	4935.1
9330175M20Rik	7484.1	6074.8	7448.1	7507.1	2997.9	7593.4
Stat4	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Myo1b	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Gls	478.9	17954.8	5203.2	24159.4	14716.3	10995.9
Mfsd6	6381.9	14026.4	15290.6	15045.7	1482.6999999999998	10762.2
Asnsd1	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Pms1	3217.8999999999996	6025.2	7437.5	7386.9	7332.6	7394.2
Hecw2	6465.9	9400.6	18664.4	23496.4	554.2	14765.5
Ccdc150	3893.1	2383.4	3794.6	3958.4	3772.4	3896
