Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	47.85563103899672	-0.23836839142670918	0.32598093376234016	-0.7312341512601905	0.46463614360701805	0.9999815730832953
A1BG-AS1	5.5775980777120155	0.21720339782908474	0.5044920244362193	0.4305388139124978	0.6668037387154793	0.9999815730832953
A1CF	60.46068876014345	-0.169819479400619	0.4970844202358312	-0.3416310640354645	0.7326285565515935	0.9999815730832953
A2M	754.3574475638628	-0.2798070440537524	0.27650486396810037	-1.0119425750356168	0.31156551107495634	0.9999815730832953
A2M-AS1	49.28754492097914	-0.1484441438773536	0.32565936708529275	-0.4558264213492588	0.6485148030004007	0.9999815730832953
A2ML1	165.6855895213336	-0.20757013534075566	0.1298696790905882	-1.5982955898117601	0.10997720844861979	0.9999815730832953
A2MP1	37.424194758580455	-0.3061362981677128	0.3168054052520003	-0.9663228375923674	0.33388266182406007	0.9999815730832953
A3GALT2	61.98532475583528	0.30114454424094134	0.27344760511674016	1.1012879199010603	0.2707713670470839	0.9999815730832953
A4GALT	3.4370941168824136	-0.5176438076969835	0.3960687115523097	-1.3069545576276027	0.19122814526769039	0.9999815730832953
A4GNT	5.919290266360905	-0.8767224051000846	0.5518522869593308	-1.588690353954618	0.11213031776317617	0.9999815730832953
AA06	0	NA	NA	NA	NA	NA
AAAS	168.5250718464353	0.2568497138251099	0.18070178041815063	1.4214011241657394	0.15520017986182824	0.9999815730832953
AACS	380.37390628218435	0.09299429677459083	0.12387004924195816	0.7507407750596996	0.4528086785093624	0.9999815730832953
AACSP1	12.6346997058708	-0.8291008020942199	0.3540323764493205	-2.341878475662254	0.019186961187942334	0.6694424542947586
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0.9143539373657645	-1.0018304728951122	0.5725491126606254	-1.7497721169099785	0.08015764385313519	0.9708778175213919
AADACL2-AS1	9.245026843094049	-0.19116022728181056	0.3636128978337517	-0.5257245505334395	0.5990796034879853	0.9999815730832953
AADACL3	0.5130482868926617	-0.42907839102618484	0.6508394756338082	-0.6592691548224463	0.5097229459601289	0.9999815730832953
AADACL4	6.816515763944343	-0.513176272133542	0.2731884076348215	-1.8784701612211852	0.06031687529772183	0.9177826843075974
AADACP1	0	NA	NA	NA	NA	NA
AADAT	192.03953631250488	0.40102399784269577	0.7868659276240402	0.5096471759218206	0.6102986668486308	0.9999815730832953
AAED1	24.800910600833063	-0.04438306266600066	0.24697167194737193	-0.1797091233826137	0.8573809306332579	0.9999815730832953
AAGAB	665.891520643754	0.0687818450864727	0.1679135981895912	0.4096264139894801	0.6820800175234237	0.9999815730832953
AAK1	6640.959212121643	-0.02248470451877468	0.16727975499721232	-0.13441378198544937	0.8930753840805611	0.9999815730832953
AAMDC	673.4099688046963	-0.11246863842553056	0.15859657148932343	-0.7091492418113329	0.47823186813804225	0.9999815730832953
AAMP	89.11325179263773	-0.2392841680725204	0.1769573629391321	-1.3522136863828988	0.17630696664564874	0.9999815730832953
AANAT	6.530826244349121	0.48253932412277295	0.3337087423061225	1.445989460114662	0.148180158075454	0.9999815730832953
AAR2	176.93972251180276	0.08141170017563781	0.12075389914313045	0.6741952082155124	0.5001872156755236	0.9999815730832953
AARD	0.46089903280593125	0.7407185909778052	0.8731038217434184	0.8483740106631699	0.39622971176156985	0.9999815730832953
AARS	527.0461554371217	0.06352427750362014	0.1577484055966755	0.40269362636879097	0.6871736232830036	0.9999815730832953
AARS2	250.46045401667286	-0.11605326747311127	0.20119448788790142	-0.5768213070418317	0.5640601744231047	0.9999815730832953
AARSD1	0	NA	NA	NA	NA	NA
AASDH	678.8423154531748	0.21570294938237183	0.08203125281285135	2.6295215784950066	0.008550510521195888	0.49583791574656044
AASDHPPT	447.0141564859339	0.1039161469294772	0.119648987294731	0.8685083700165457	0.38511609222888915	0.9999815730832953
AASS	1125.1514320733745	-0.21726719791160798	0.7898471728194604	-0.2750749833490509	0.7832586308564705	0.9999815730832953
AATBC	38.80665007140419	-0.0995954454273867	0.22837112569320583	-0.43611224985238894	0.6627552898285216	0.9999815730832953
AATF	1837.47338064779	0.05913199082518634	0.09758910773218143	0.6059281839881676	0.544562443125713	0.9999815730832953
AATK	557.3002226213703	0.24507493643804684	0.12865325540429376	1.904926040681187	0.05678968569423191	0.9052033172927312
AATK-AS1	161.83198293551672	-0.12370395902236841	0.2554755574838757	-0.48421054538720787	0.6282364536334296	0.9999815730832953
ABALON	0	NA	NA	NA	NA	NA
ABAT	2510.6947564009383	-0.006694143055157543	0.2141367055319973	-0.03126107240011346	0.9750613349483384	0.9999815730832953
ABCA1	1613.359490118418	-0.2675511505277418	0.5269162062978678	-0.5077679284293907	0.6116161039747635	0.9999815730832953
ABCA10	1827.1062426763267	-0.004261734253476836	0.27624404260677776	-0.01542742501615951	0.9876911840294647	0.9999815730832953
ABCA11P	373.07591471583237	-0.11544958761233588	0.1504767219189465	-0.7672255624662145	0.4429474170043842	0.9999815730832953
ABCA12	46.4334250008084	-0.5089730602266338	0.4834399808748183	-1.0528154070038056	0.29242560226908504	0.9999815730832953
ABCA13	55.950107395493966	-0.20230051192504667	0.35901673445936494	-0.5634849089407666	0.5731047334006042	0.9999815730832953
ABCA17P	621.5521190041811	-0.12040870284276256	0.22551310528213517	-0.5339321752149239	0.5933884602824805	0.9999815730832953
ABCA2	976.9837803106024	0.30147937800380353	0.4051592406301587	0.7441009553056271	0.45681540142578536	0.9999815730832953
ABCA3	695.2794807579116	0.13577116056621275	0.1940317705683189	0.6997367501648782	0.4840917211856694	0.9999815730832953
ABCA4	14.796507001932765	-0.3056823942616338	0.28366266277130725	-1.0776264710878751	0.28120048407236287	0.9999815730832953
ABCA5	3845.3435424904205	0.13124101862070112	0.20080863520289746	0.6535626243766605	0.5133936305314434	0.9999815730832953
ABCA6	712.2785726045004	-0.0899458363817618	0.2739989890873742	-0.3282706869881167	0.7427070056309162	0.9999815730832953
ABCA7	107.46444693595078	-0.14527182535608685	0.42051926110125465	-0.3454581960779856	0.7297499326690293	0.9999815730832953
ABCA8	1225.429045380548	0.5903934427789487	0.7850681510644874	0.7520282691106805	0.45203405874742497	0.9999815730832953
ABCA9	486.9469374221773	0.024106207422932152	0.3287332739297247	0.07333059758375869	0.9415430438863676	0.9999815730832953
ABCA9-AS1	0	NA	NA	NA	NA	NA
ABCB1	12.278200728996126	-0.13534684549718615	0.28730929903047403	-0.4710841102390853	0.6375806717450037	0.9999815730832953
ABCB10	764.4121046956177	0.08588829225805468	0.08241157211498604	1.0421872809102306	0.29732485879600945	0.9999815730832953
ABCB11	4.440685727707612	-0.23110575791332164	0.3487435797665517	-0.6626810393700249	0.5075348557206389	0.9999815730832953
ABCB4	38.400703545252675	-0.2303118815342305	0.18679639289391484	-1.2329567930416563	0.21759188468126825	0.9999815730832953
ABCB5	9.48106401687185	-0.2549297028584179	0.2433662819902393	-1.0475144739592248	0.2948623601486639	0.9999815730832953
ABCB6	119.1593141859211	-0.04710251466433478	0.1303705294332603	-0.36129725689614267	0.7178772441062304	0.9999815730832953
ABCB7	1322.629574688482	-0.0373035723967297	0.14745985428247071	-0.2529744287233041	0.8002879735411589	0.9999815730832953
ABCB8	322.7039357870189	0.044048356699577663	0.17675661669742257	0.24920343873169398	0.803203419600321	0.9999815730832953
ABCB9	326.72946192766835	-0.10775396237472065	0.26626060632414916	-0.40469359648170994	0.6857027497288624	0.9999815730832953
ABCC1	477.04670589707035	0.10427304946853222	0.12918559365796708	0.8071569477368077	0.4195760660268898	0.9999815730832953
ABCC10	189.96027035366575	0.13681340494834332	0.18718369343961053	0.7309045058055885	0.46483748363506305	0.9999815730832953
ABCC11	35.22496828818216	-0.06501614194705624	0.3387761083679482	-0.19191477893842956	0.8478089607074866	0.9999815730832953
ABCC12	6.946278514939354	-0.17340925181835784	0.533359381207186	-0.32512646805962186	0.7450853576169921	0.9999815730832953
ABCC13	1.5240100850432163	0.29351486818908046	0.4872762748568381	0.6023582171640004	0.5469357163498911	0.9999815730832953
ABCC2	49.38676916592594	-0.1744882603929866	0.1840449915813814	-0.9480739404735771	0.34309181364937597	0.9999815730832953
ABCC3	11.922706893158491	-0.6712977087629777	0.2960158429608894	-2.267776285378319	0.023342845516024346	0.7111040130043155
ABCC4	183.17545472841564	0.4337785545376023	0.579870287612766	0.7480613575208341	0.4544231489006358	0.9999815730832953
ABCC5	1458.2005406942076	0.06196343974872522	0.11052395757736129	0.56063355951902	0.5750473687674649	0.9999815730832953
ABCC5-AS1	0	NA	NA	NA	NA	NA
ABCC6	30.21217383216851	-0.3209515795170779	0.21581887297353972	-1.487133979966747	0.1369794285364126	0.9999815730832953
ABCC6P1	9.863985726968911	-0.7480224224154478	0.38321145626542547	-1.951983455049271	0.05094016894744888	0.8730870478077014
ABCC6P2	0.030630063616530978	-0.03148286822593925	2.9723426519554788	-0.010591937711228194	0.9915490144496607	NA
