Gene	granule	basket	astrocyte	oligo	opc
Pof1b	3384.25	3422.25	3139	3262.25	3596
Pdf	7862.5	3429	10166.375	1672.125	5848.5
Tti1	5810.375	5888.125	2422.5	5887.375	4729.125
Arpp21	798.375	9360.5	4832	9306.75	3068.625
Tubg1	3283	6638.75	1385.25	7792	7873.5
Iffo1	10038.125	8147.375	3995.25	5545.875	868.625
Rnft1	1284.5	4314.75	9333.75	5886.25	7745
Arhgef10l	5120	8965.375	599.125	8896.125	3794.125
Rps6kb1	4116.5	2680.5	9473.25	7022.875	5274.375
Sltm	9308.625	2186.5	7098.75	3992.5	6018.75
Tubg2	2464	4950	4457.125	4694	4944.75
Stard3	4867.625	4944	4600.25	2144.375	5150.75
Irak3	3384.25	3422.25	3139	3262.25	3596
Sh2b2	5101.25	5133	810.5	5039.125	5300
Gapdh	5125.125	3524.625	1202.875	10296.375	8441.625
Agtr2	3384.25	3422.25	3139	3262.25	3596
Ccdc92	528.625	2977.75	8344.5	8699	6843.625
Loxl2	3384.25	3422.25	3139	3262.25	3596
Zic2	362.875	5288.625	3079.875	9274.5	9354.5
Gata2	3384.25	3422.25	3139	3262.25	3596
Sirt7	9757	5598.5	5183.625	3177.625	6073.375
Tmed10	7937.125	6633.125	3254	1576.125	8257.625
Ift88	1598.625	4506.375	7194.25	7723	6325.25
Tgm2	3384.25	3422.25	3139	3262.25	3596
Mafg	10316.5	7352	710	5795	5697.75
Trpv4	3384.25	3422.25	3139	3262.25	3596
Inpp5k	5941.75	9934.875	365.75	3741	8567.75
Fam63b	1280.75	2728	5746	8392.75	10467.375
Pank2	6981.375	5972	5387.625	7039.125	2764.5
Rprd1b	3426.125	2008.75	9853.125	5898.25	7525.125
Acadm	9160.625	6037.5	1613.625	7898.875	3830
Adam10	3442.875	5530.5	9208.125	1616	8759.25
Eif4h	5959.25	9532.75	6624.625	1952.375	3896.375
Osbpl5	5296.5	997.75	4855	5098.875	5354.25
Chm	7387.25	4204.625	9694.75	3706.625	4045.75
Pycr1	3384.25	3422.25	3139	3262.25	3596
Tmem248	5641.25	4183	8993.625	2114.375	7865.75
Mdm4	7502.875	5724.25	9126.25	1977.25	4263
Pnmt	3384.25	3422.25	3139	3262.25	3596
Casq1	3384.25	3422.25	3139	3262.25	3596
Cyb5d2	9646.625	8446.625	3941.75	3773.5	1635.375
Pgap3	3384.25	3422.25	3139	3262.25	3596
Lipc	3384.25	3422.25	3139	3262.25	3596
Cntnap1	167	3039	6608.5	8734	8812.125
Pdcd6ip	6232.5	8122.625	9791	770.25	3673.875
Bud31	3565.75	5829.25	5548.25	7128.625	7860.75
Srebf1	8326.625	7982.125	1520	3290.25	6486.625
Plekhh3	2391.625	4964.375	4474.75	4714.5	4964.75
Dynlrb1	3720.5	8017.125	7639.875	4022.875	4155.75
Gjb1	5301.125	5342.75	5124.75	362.625	5570.75
Notum	3384.25	3422.25	3139	3262.25	3596
Ccr10	4781.375	4819	2060.875	4733.75	4979.375
Ppp1r12a	6453.75	7550.25	9341.125	3748.5	1577.5
Nadsyn1	4633.625	4675.25	2664.625	4586.75	4830.25
Cep164	4347.125	2711	5194.25	7589.25	7990.625
Atp1a4	3384.25	3422.25	3139	3262.25	3596
Fos	3384.25	3422.25	3139	3262.25	3596
Ipo7	7094.625	1435.375	10672.125	5314.5	4199.25
Vps11	4531.875	5117	8678.75	3156.875	8752
Wee1	4728.75	4768.25	2277.5	4681	4928.5
Snx19	7983.5	3397.5	1481	8104	6547.375
Aldh1a2	3384.25	3422.25	3139	3262.25	3596
Zfp275	4789.375	5442	9924	1627.125	7804
Ptpru	3072.875	4774.25	4326.875	4543.875	4791.625
Mien1	6473.875	3770.75	1312.25	6353.5	6522.375
Rpap1	4712.625	6056.625	2850.125	5975.625	4585.125
Erbb2	4956.25	4990	1374.5	4904.25	5157.5
Cmtm3	5166.125	5200	554.375	5101	5361
Clasp2	4638.5	9704.375	7385.375	871.75	6084.125
Syp	2558.375	434.5	6371.625	10656.625	8571.875
Sbds	3478.25	3804.25	7898	3789.75	9898.875
Pigu	7958.75	3873.875	9260.125	1874.625	5610.5
Dhcr7	7772.875	7871.125	4380.75	1073	6265.625
Nip7	4457.375	6017.375	7138.125	7411.125	2452
Trp53inp2	7694.5	1167.75	5551.875	5248.875	10163.5
Atp1a2	9188.75	9241.25	31.75	6012.25	2874.375
Grb7	3130.125	4757.25	4314.125	4528.75	4781.125
Caskin2	5045.75	5114.125	4784.125	5069.375	1406.75
Igsf8	3196.25	1628.125	10996.25	7395.75	5382.375
Tmtc4	93.125	6053.125	4386.25	8379.75	8457.375
Tmem94	10222.625	3413.375	1446.5	8089.5	5488.25
Fsd2	3384.25	3422.25	3139	3262.25	3596
Adamts15	5459	46.25	5196.75	5327.25	5570.75
Pcca	354.25	3505.5	9232.375	6907.625	8582.875
Cnot2	1108.5	3766.5	10612.375	7439.25	5638.25
Comp	3384.25	3422.25	3139	3262.25	3596
Gemin8	5139.625	5170.5	663.75	5074.375	5334.125
Tubd1	4567.5	4615.25	2907.375	4527.25	4765.875
Jdp2	10087.25	3653.25	5016.375	7048.375	3640.375
Zmym3	6215.75	3576.875	1468.5	9606.125	7746.75
Cgnl1	2689.25	4877.75	4410.25	4641.625	4886.25
Haus7	3717.125	6e3	5503.25	5859.5	4219.5
Adamts8	3384.25	3422.25	3139	3262.25	3596
Acot7	5442.875	8195.125	9481.5	1209.375	4205.25
Zbtb44	5366.375	3802.625	10352.5	5893	2249.375
Gpm6b	8402.75	11289.25	769.875	2530	5623
Lrrc45	9112.125	2113	5694.5	3709.875	7981.25
Fbxl2	5266.875	1929.875	7731.25	10075.625	3588.375
Cpsf4	2098.25	4894.375	5691.5	6043.25	6207.375
Ikzf3	3384.25	3422.25	3139	3262.25	3596
Rac3	3384.25	3422.25	3139	3262.25	3596
Ubp1	4016.875	1715.375	9265.125	8220.375	5372.375
Zzef1	4140	2599.625	8713.625	5469.375	7692.625
Fam129a	3384.25	3422.25	3139	3262.25	3596
Dcxr	5067.625	5105.75	949.5	5005.625	5265.75
Susd5	5393.25	5436.5	5207.875	5329.75	64.75
Zpbp2	3384.25	3422.25	3139	3262.25	3596
Pbrm1	7564.125	6213	8980.375	1661.25	4193.25
Terf2	7373.5	7834.125	4003.75	3717.125	4597.25
Batf	3384.25	3422.25	3139	3262.25	3596
Exosc10	4070.5	7865.75	1411	7800.625	5922.75
Rfng	5152.625	3104.125	5303.375	10255.5	5940.125
Limk1	3384.25	3422.25	3139	3262.25	3596
Ggt7	2965.5	907.625	10046.875	8528	6162.125
Gps1	4854.25	4891.875	1782.625	4802.125	5054
Glb1	5627.5	5718.125	4202	5717.375	4650.75
Acss2	5158.125	864.25	8756.125	3604.75	10253.125
Gpr153	5278	5315.75	118.75	5206.5	5459
Gss	3320.25	913.75	9755.625	5593.75	9061.75
Trim71	3384.25	3422.25	3139	3262.25	3596
Mfsd7c	4677.625	4719.375	2483.625	4628.375	4873.125
Hes3	3384.25	3422.25	3139	3262.25	3596
Tsen54	3384.25	3422.25	3139	3262.25	3596
Cyb5b	9292.5	8133	4922.375	1320.25	4985.375
Dync1li1	2736.5	6011.25	10023.5	3122	7630.625
Ofd1	10473.375	7769.25	634.375	5331.375	4460
Ormdl3	6259.75	2031.75	5781.625	6213.5	4581.125
Cmtm6	2828.25	7728.5	5491.25	5561.375	5944.375
0610007P14Rik	5788.75	8403.125	3668.125	1423.375	8155.75
Gsdma	3384.25	3422.25	3139	3262.25	3596
Rnf207	3384.25	3422.25	3139	3262.25	3596
Arfrp1	10010.875	5302.375	4057.5	4084.625	4285.75
Bgn	5028	5098	4761.75	5053	1494.25
Tcf12	7678.5	10679.625	5751.375	830.625	3661.75
Gpd1l	6218.875	2502.375	6978.875	7520.875	4103.75
Whamm	6176.5	8081.125	529.875	9647	4148.625
Nono	7755.625	4759.5	9267.375	4081.875	2192.875
Lime1	3322.875	5375.875	2765.875	6873.875	7031.875
Zgpat	3072.125	3050.5	9211.125	7500.125	7809.625
Vmp1	8398.625	6517.375	10171.875	152.5	3366.375
Crtc1	851.25	7970.125	3130.625	10226.125	6421.375
Osbpl10	5409	380	5076.5	5240.75	5496
Rab9	7915.5	6316.125	8005.5	1344.125	4205.625
Hyou1	6251.125	3845.125	3535.625	9482.75	5560.125
Stt3b	7850.875	3421.375	7671.875	7863.5	1903.75
St14	3384.25	3422.25	3139	3262.25	3596
Ptrh2	5399.5	6121.125	8814.375	4151.875	3552.125
Llgl2	3384.25	3422.25	3139	3262.25	3596
Homer2	3384.25	3422.25	3139	3262.25	3596
Atp5j2	6228.5	2868.875	5306.25	9906.75	4465
Gltp	6903.75	6986.625	6676.75	2930	1594.625
Myo1c	5085.5	5116	875.875	5023.25	5282.75
Tgfbr2	3384.25	3422.25	3139	3262.25	3596
Egfl6	3384.25	3422.25	3139	3262.25	3596
Psmd3	7601.5	8237.375	2065	3736.75	6112.375
Neu2	3384.25	3422.25	3139	3262.25	3596
Itgb1bp2	3384.25	3422.25	3139	3262.25	3596
Dus1l	5040.25	5108.875	4777.625	5065	1438.375
Kif23	3384.25	3422.25	3139	3262.25	3596
Klhl26	3627.25	9703.25	735	8730.5	5731.625
Ppfia1	916.625	6386.75	3127.5	10168.5	8019.25
Fasn	7816.375	7919.5	1016.375	6090	4549
Tlr8	3384.25	3422.25	3139	3262.25	3596
Rbms3	3384.25	3422.25	3139	3262.25	3596
Tlr7	3384.25	3422.25	3139	3262.25	3596
Syt17	3384.25	3422.25	3139	3262.25	3596
Ncapd2	4158.875	6329.75	2444.625	6163	6195.375
Med24	5568.125	8467.875	1571.25	7966.125	3981.5
Edem3	2266	4087.375	9348.875	5702.375	7156.125
Psat1	8450.5	6634.375	8080.25	317.75	3992.125
Recql5	6212	6284.25	2234.625	6302.375	3693.375
Slc35a3	7292.375	3176	10256.5	2230.875	5926.875
Slc16a3	3384.25	3422.25	3139	3262.25	3596
Nfat5	4340.375	5674.375	8810.75	7377.875	2352.25
Smim5	3384.25	3422.25	3139	3262.25	3596
Sap30bp	5872.25	7820.125	1910.875	3939.125	7849
Fadd	5747.75	5834.5	2855.75	4547.375	5979.5
Tyro3	2931.5	9081.5	8784.375	399	6277.25
Csnk1d	9532	5854.125	5270	4097.125	3961.125
Etv1	83.75	10666.125	8347.25	6449.875	3060.875
Prps2	3384.25	3422.25	3139	3262.25	3596
Zbtb46	158.25	5435.375	5142	5261.625	5512.5
Paqr5	3384.25	3422.25	3139	3262.25	3596
Abhd16b	3384.25	3422.25	3139	3262.25	3596
Tchp	8190.125	4709	1769	8203.5	3945.25
Myh7b	3384.25	3422.25	3139	3262.25	3596
Trpc4ap	4315.25	7284	9353.5	1610.75	6058.75
Fam103a1	5707.75	3319.25	10983.125	5895.125	2886
Cmc1	3384.25	3422.25	3139	3262.25	3596
Azi2	1825.125	3260.5	10122.5	5183.875	8176.5
Msl3	5402	4301.625	7290.875	5859.375	4802.625
Ano1	3384.25	3422.25	3139	3262.25	3596
Eomes	3384.25	3422.25	3139	3262.25	3596
Tpd52l2	8309	10366.75	1495.25	2987	5446.25
Zfp280d	7056.875	3699.625	10835.625	2030.625	5074.625
Nr1d1	5689.625	5829	433	7432.25	10490.625
Golga4	2010.625	7503.625	5266.625	9000.5	4794.75
Anp32a	2825.75	5993.875	1066.75	8265.375	10435.25
Slc37a4	6095.5	6212.25	7986.625	3693.375	2930.875
Itga9	5398.75	5441.5	5213	5333.25	45.25
Casc3	3716.375	6021.375	8805.5	2322.125	7746.125
Msl1	3098.25	8048.625	9770.125	3576	4138.75
Uts2r	3384.25	3422.25	3139	3262.25	3596
Hccs	8804.75	3578.625	9401.625	2626.75	3912.125
Vill	3384.25	3422.25	3139	3262.25	3596
Edem2	8858.5	6450.375	6162.75	1767.125	4291.125
Plcd1	5999.875	6084.125	3380.25	6094.375	3560.625
Coro2b	905.625	7282.125	2282.75	7165.75	7341
Ogt	9755.875	989.375	4101.25	7486.375	6292.375
Dnajc5	1525.875	3692.5	8652.75	8904	4106.625
Hexdc	5584.125	5680.75	8507.5	3505.375	5776.5
BC017643	7390.375	7934.625	3461.125	5601.125	3647.125
Procr	3384.25	3422.25	3139	3262.25	3596
Itga11	3384.25	3422.25	3139	3262.25	3596
Ogfod3	3384.25	3422.25	3139	3262.25	3596
Mns1	6303.375	6372.375	1105.75	6379.75	4706.375
Trappc4	6271.125	4954.375	5867.5	1504.75	6437.75
Prpf6	3932.375	2287.25	8726.125	5926.25	7664.125
Samd10	3674.375	1562.5	6408.375	7683.625	7767
Ccnd1	5396.25	5440.5	5210.75	5331.75	43.25
Oxsr1	3948.125	6021.625	5660.125	7437.625	4389
Uckl1	8044.375	8185.75	1313	4048.5	6006.125
Myd88	3384.25	3422.25	3139	3262.25	3596
Zfp512b	8369.25	5929.75	924.875	10090.375	3294.375
Narf	1273.875	5576.375	8236.875	3485	8803.875
Acvr2b	5983.625	6096.125	5532	2850.875	4879.625
