Donor_1	Donor_2	Donor_3	n_fos	n_sig
wl	sg	or	0	1
wl	sg	ko	0	1
wl	sg	lt	0	1
wl	sg	ke	0	1
wl	sg	ai	0	1
wl	sg	wo	0	1
wl	or	ke	0	1
wl	ko	zh	1	1
wl	ko	ai	0	1
wl	vm	lt	1	1
wl	vm	ke	1	1
wl	vm	wc	1	1
wl	pk	zh	1	1
wl	lt	ke	0	1
wl	lt	kq	0	1
wl	zh	wc	1	1
wl	ke	wc	0	1
wi	sg	ko	1	1
wi	sg	vm	2	1
wi	sg	ke	1	1
wi	or	vm	2	1
wi	or	wc	1	1
wi	ko	wc	1	1
wi	vm	pk	2	1
wi	vm	ke	2	1
wi	vm	kq	2	1
wi	vm	ai	2	1
wi	vm	wo	2	1
wi	pk	lt	1	1
wi	lt	ai	1	1
wi	ke	kq	1	1
wi	ke	wo	1	1
wi	kq	ai	1	1
sg	or	ke	0	1
sg	or	kq	0	1
sg	ko	wo	0	1
sg	vm	lt	1	1
sg	vm	ke	1	1
sg	vm	wc	1	1
sg	vm	wo	1	1
sg	lt	kq	0	1
sg	lt	ai	0	1
sg	lt	wc	0	1
sg	ke	wc	0	1
or	ko	ke	0	1
or	vm	wc	1	1
or	ke	kq	0	1
or	ke	wo	0	1
or	ai	wc	0	1
ko	pk	lt	0	1
ko	lt	ke	0	1
ko	ai	wc	0	1
vm	pk	wc	1	1
vm	lt	ke	1	1
vm	lt	wc	1	1
vm	ai	wo	1	1
pk	lt	zh	1	1
pk	ai	wc	0	1
lt	ke	kq	0	1
lt	ke	ai	0	1
lt	ke	wc	0	1
lt	kq	wo	0	1
zh	ke	wo	1	1
ke	kq	wc	0	1
ke	ai	wc	0	1
xk	tm	wl	0	0
xk	tm	wi	1	0
xk	tm	sg	0	0
xk	tm	ko	0	0
xk	tm	lt	0	0
xk	tm	zh	1	0
xk	tm	ke	0	0
xk	wl	or	0	0
xk	wl	ko	0	0
xk	wl	pk	0	0
xk	wl	zh	1	0
xk	wl	kq	0	0
xk	wl	wo	0	0
xk	wi	ko	1	0
xk	wi	pk	1	0
xk	wi	lt	1	0
xk	wi	ke	1	0
xk	wi	kq	1	0
xk	wi	wc	1	0
xk	wi	wo	1	0
xk	sg	or	0	0
xk	sg	ko	0	0
xk	sg	pk	0	0
xk	sg	zh	1	0
xk	sg	kq	0	0
xk	sg	ai	0	0
xk	or	ko	0	0
xk	or	vm	1	0
xk	or	pk	0	0
xk	or	lt	0	0
xk	or	zh	1	0
xk	or	ke	0	0
xk	or	ai	0	0
xk	or	wc	0	0
xk	or	wo	0	0
xk	ko	vm	1	0
xk	ko	pk	0	0
xk	ko	lt	0	0
xk	ko	zh	1	0
xk	ko	ke	0	0
xk	ko	wc	0	0
xk	ko	wo	0	0
xk	vm	wo	1	0
xk	pk	ke	0	0
xk	pk	wo	0	0
xk	lt	zh	1	0
xk	lt	kq	0	0
xk	zh	ke	1	0
xk	ke	kq	0	0
xk	kq	wo	0	0
xk	ai	wc	0	0
xk	ai	wo	0	0
tm	wl	vm	1	0
tm	wl	zh	1	0
tm	wl	ke	0	0
tm	wl	ai	0	0
tm	wi	sg	1	0
tm	wi	lt	1	0
tm	wi	ke	1	0
tm	wi	wc	1	0
tm	sg	ko	0	0
tm	sg	vm	1	0
tm	sg	lt	0	0
tm	sg	zh	1	0
tm	sg	ke	0	0
tm	sg	kq	0	0
tm	sg	ai	0	0
tm	sg	wc	0	0
tm	or	vm	1	0
tm	or	lt	0	0
tm	or	ke	0	0
tm	or	ai	0	0
tm	ko	vm	1	0
tm	ko	lt	0	0
tm	ko	ke	0	0
tm	vm	lt	1	0
tm	vm	ke	1	0
tm	vm	kq	1	0
tm	vm	ai	1	0
tm	vm	wc	1	0
tm	lt	zh	1	0
tm	lt	ke	0	0
tm	lt	kq	0	0
tm	lt	wc	0	0
tm	lt	wo	0	0
tm	zh	ke	1	0
tm	ke	ai	0	0
tm	ke	wc	0	0
tm	ai	wc	0	0
wl	wi	sg	1	0
wl	wi	or	1	0
wl	wi	pk	1	0
wl	wi	lt	1	0
wl	wi	ke	1	0
wl	wi	kq	1	0
wl	wi	ai	1	0
wl	sg	pk	0	0
wl	sg	zh	1	0
wl	sg	kq	0	0
wl	or	ko	0	0
wl	or	vm	1	0
wl	or	pk	0	0
wl	or	lt	0	0
wl	or	zh	1	0
wl	or	kq	0	0
wl	or	ai	0	0
wl	ko	vm	1	0
wl	ko	pk	0	0
wl	ko	lt	0	0
wl	ko	kq	0	0
wl	ko	wc	0	0
wl	ko	wo	0	0
wl	vm	kq	1	0
wl	vm	wo	1	0
wl	pk	lt	0	0
wl	pk	ke	0	0
wl	pk	kq	0	0
wl	pk	ai	0	0
wl	pk	wc	0	0
wl	pk	wo	0	0
wl	lt	zh	1	0
wl	lt	wo	0	0
wl	zh	ke	1	0
wl	zh	kq	1	0
wl	zh	ai	1	0
wl	ke	kq	0	0
wl	ke	ai	0	0
wl	kq	wc	0	0
wl	kq	wo	0	0
wl	ai	wc	0	0
wl	ai	wo	0	0
wi	sg	or	1	0
wi	sg	pk	1	0
wi	sg	lt	1	0
wi	sg	wc	1	0
wi	or	lt	1	0
wi	or	ke	1	0
wi	ko	lt	1	0
wi	ko	ke	1	0
wi	vm	lt	2	0
wi	vm	wc	2	0
wi	pk	ke	1	0
wi	pk	wc	1	0
wi	lt	ke	1	0
wi	lt	kq	1	0
wi	lt	wc	1	0
wi	lt	wo	1	0
wi	ke	ai	1	0
wi	ke	wc	1	0
wi	ai	wc	1	0
sg	or	ko	0	0
sg	or	vm	1	0
sg	or	pk	0	0
sg	or	lt	0	0
sg	or	zh	1	0
sg	or	ai	0	0
sg	or	wc	0	0
sg	or	wo	0	0
sg	ko	vm	1	0
sg	ko	pk	0	0
sg	ko	zh	1	0
sg	ko	ke	0	0
sg	ko	wc	0	0
sg	vm	kq	1	0
sg	pk	lt	0	0
sg	pk	zh	1	0
sg	pk	ke	0	0
sg	pk	kq	0	0
sg	pk	ai	0	0
sg	pk	wc	0	0
sg	pk	wo	0	0
sg	lt	zh	1	0
sg	lt	wo	0	0
sg	zh	ke	1	0
sg	zh	kq	1	0
sg	zh	ai	1	0
sg	zh	wc	1	0
sg	zh	wo	1	0
sg	ke	ai	0	0
sg	ke	wo	0	0
sg	kq	wc	0	0
sg	kq	wo	0	0
sg	ai	wc	0	0
sg	ai	wo	0	0
or	ko	vm	1	0
or	vm	pk	1	0
or	vm	lt	1	0
or	vm	ke	1	0
or	vm	kq	1	0
or	vm	ai	1	0
or	vm	wo	1	0
or	pk	lt	0	0
or	pk	ke	0	0
or	pk	wc	0	0
or	lt	zh	1	0
or	lt	ke	0	0
or	lt	kq	0	0
or	lt	wc	0	0
or	lt	wo	0	0
or	zh	ke	1	0
or	zh	wc	1	0
or	ke	ai	0	0
or	ke	wc	0	0
or	kq	wc	0	0
ko	vm	pk	1	0
ko	vm	lt	1	0
ko	vm	ke	1	0
ko	vm	wc	1	0
ko	vm	wo	1	0
ko	pk	ke	0	0
ko	pk	wc	0	0
ko	lt	zh	1	0
ko	lt	wc	0	0
ko	zh	ke	1	0
ko	zh	wc	1	0
ko	ke	wo	0	0
vm	pk	lt	1	0
vm	pk	ke	1	0
vm	lt	kq	1	0
vm	lt	wo	1	0
vm	ke	kq	1	0
vm	ke	ai	1	0
vm	ke	wo	1	0
vm	kq	wc	1	0
vm	kq	wo	1	0
vm	ai	wc	1	0
pk	lt	ke	0	0
pk	lt	wc	0	0
pk	lt	wo	0	0
pk	zh	ke	1	0
pk	zh	wc	1	0
pk	ke	kq	0	0
pk	ke	ai	0	0
pk	ke	wc	0	0
pk	ke	wo	0	0
pk	kq	wc	0	0
lt	zh	ke	1	0
lt	zh	kq	1	0
lt	zh	wc	1	0
lt	zh	wo	1	0
lt	ke	wo	0	0
lt	kq	wc	0	0
zh	ke	kq	1	0
zh	ke	wc	1	0
zh	kq	wc	1	0
ke	kq	wo	0	0
ke	ai	wo	0	0
ke	wc	wo	0	0
