Gene	Granule	Purkinje	Basket	Astrocyte	Oligo	OPC
AABR07000398.1	1360.1	24846.9	30582.4	13152.7	13783.5	7680.5
AABR07000400.1	19322.2	19481.4	18600.199999999997	18621.1	13125.5	12748.7
AABR07000402.1	14714	18742.1	26105.5	12958.7	7181.5	7281.5
AABR07000404.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000410.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000411.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000433.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000436.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AC128394.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AC128394.3	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Cited2	14163.3	19034.3	632.4	13843.7	30291.5	14162.8
AC128394.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Txlnb	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
LOC100360362	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Heca	14192.3	17987.4	8649	20032.9	2823.5	19266.1
Abracl	15185.9	602.3	8609.8	15286.8	14748.7	14993.8
Reps1	9564.099999999999	1034.8	19367.800000000003	24210	23787.9	13737.3
Ect2l	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000452.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000451.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Ccdc28a	12996.6	23587.3	1496.1	19851.4	13916	24540.699999999997
AABR07000455.1	9651.5	7347.4	9695.400000000001	4845.4	9283.8	9650.5
Nhsl1	15506	13698	15572.3	6902.1	15276.6	1475.4
Hebp2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000458.1	10118.8	7882.4	2794.4	10354.4	9676.2	10022
Arfgef3	18523	1600.3000000000002	7999.1	30273.2	7984.5	25436
RGD1560303	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Perp	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Tnfaip3	10227.6	366.1	10161.9	10306.1	9862	10228.1
LOC102550206	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000484.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Olig3	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000493.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Ifngr1	14477.2	7521.799999999999	20312.6	20282.5	224.2	20080.6
Il22ra2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Il20ra	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AC136053.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Slc35d3	9504.1	7212	9477	9686.1	9156.8	5126.700000000001
Pex7	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
