Gene	1992_astro_50	1992_astro_100	1992_astro_200	1992_astro_300	1992_astro_400	1992_astro_500	1992_astro_600	1992_astro_800	1992_astro_1000	1992_astro_1200	1993_astro_50	1993_astro_100	1993_astro_200	1993_astro_300	1993_astro_400	1993_astro_500	1993_astro_600	1993_astro_800	1993_astro_1000	1993_astro_1200	1855_oligo_50	1855_oligo_100	1855_oligo_200	1855_oligo_300	1855_oligo_400	1855_oligo_500	1855_oligo_600	1855_oligo_800	1855_oligo_1000	1855_oligo_1200	1856_oligo_50	1856_oligo_100	1856_oligo_200	1856_oligo_300	1856_oligo_400	1856_oligo_500	1856_oligo_600	1856_oligo_800	1856_oligo_1000	1856_oligo_1200	1857_opc_50	1857_opc_100	1857_opc_200	1857_opc_300	1857_opc_400	1857_opc_500	1857_opc_600	1857_opc_800	1857_opc_1000	1857_opc_1200	1858_opc_50	1858_opc_100	1858_opc_200	1858_opc_300	1858_opc_400	1858_opc_500	1858_opc_600	1858_opc_800	1858_opc_1000	1858_opc_1200
Adora1	1	2	6	8	12	15	20	32	37	41	1	1	4	5	7	7	9	16	22	26	1	1	5	7	8	13	13	21	23	29	2	2	5	11	11	13	14	14	23	28	1	1	2	4	6	11	12	14	16	17	1	1	1	2	3	4	4	5	6	8
Sntg1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	2	2	0	0	0	1	4	7	9	14	16	19	1	3	5	7	8	9	9	12	14	15	21	51	105	146	192	241	291	369	459	542	22	44	83	132	190	252	318	403	503	613
Cflar	5	6	8	10	14	15	17	24	32	36	2	4	7	9	13	15	19	23	30	39	0	0	2	2	3	3	4	4	7	10	0	0	0	0	0	3	4	5	8	12	0	1	1	2	2	2	2	4	5	7	0	0	2	2	2	2	2	3	3	5
Prim2	2	3	5	7	7	8	10	14	16	22	0	1	5	6	7	10	12	17	20	25	0	0	0	0	1	5	7	12	14	20	1	2	4	6	7	8	9	12	16	23	1	5	9	11	19	21	24	31	36	43	1	1	3	6	8	12	15	17	20	28
Adgrb3	75	142	265	400	524	689	837	1100	1388	1658	74	152	315	463	619	785	947	1261	1577	1882	10	23	41	58	74	93	110	145	177	214	11	23	38	50	68	82	98	135	175	209	38	87	166	257	335	413	477	633	779	935	36	75	159	230	312	398	478	620	783	963
Obsl1	0	0	1	1	1	2	2	3	5	5	0	1	3	3	3	3	4	4	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	2	2	2	3	3	4	4
Gpr39	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	2	2	2	2	2	0	0	1	1	1	1	1	1	1	2	0	0	2	2	3	3	3	3	3	4
Lmx1a	0	0	1	1	1	1	1	1	2	5	0	0	0	0	0	0	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Pld5	0	1	1	1	2	2	4	5	8	9	0	0	0	1	1	2	3	3	3	4	1	1	1	1	3	4	6	8	9	9	0	1	3	3	3	3	3	4	5	6	0	1	3	5	10	13	17	20	24	27	1	2	4	10	11	12	14	17	24	31
Syt14	0	1	3	7	8	8	11	13	18	20	1	4	5	6	10	12	14	16	18	22	0	1	1	1	3	5	6	6	6	8	0	0	0	0	0	0	1	1	3	4	4	11	18	23	29	34	44	55	72	87	6	8	12	16	26	31	39	44	52	64
1700112H15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
A830018L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	3	3	3	0	0	0	0	0	0	0	0	0	1	0	1	1	2	3	3	3	5	6	7	0	0	0	0	2	2	3	5	5	5
Cpa6	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1
Lactb2	1	3	3	4	5	5	5	7	8	11	0	0	1	2	3	4	4	7	8	8	0	0	0	0	0	2	3	4	7	8	0	0	3	5	5	6	8	8	9	11	1	1	2	2	2	4	8	10	12	12	1	1	1	2	2	2	2	7	9	9
Efhc1	1	2	3	3	4	6	8	9	12	12	1	1	3	4	4	4	5	7	8	10	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	4	4	0	0	0	1	2	2	2	2	3	3	0	0	0	0	0	0	0	0	1	1
Khdrbs2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	3	4	5	1	1	2	5	6	6	6	9	10	14	1	1	2	5	5	5	5	7	9	10	7	16	33	51	66	80	95	125	165	191	10	12	27	41	54	59	77	109	141	168
Lonrf2	0	0	1	1	1	3	3	3	3	5	0	0	1	1	2	2	2	2	2	3	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	2	2	2	1	1	2	2	2	3	3	4	5	5	0	0	0	2	2	2	3	3	4	5
Actr1b	0	3	3	3	4	6	8	9	9	10	0	0	2	3	3	3	3	4	4	5	0	0	0	1	1	1	1	1	2	2	1	1	2	2	2	2	3	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	2
1700066B17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnah7b	4	12	29	36	50	60	79	109	146	174	11	27	38	56	77	91	104	138	188	225	2	2	2	4	6	7	7	9	11	16	1	2	4	6	8	9	10	13	15	17	1	1	1	3	4	4	4	10	12	19	4	4	8	8	12	15	19	26	32	35
Gpr45	0	1	1	3	3	3	3	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	2	7	8	14	15	19	26	31	40	1	1	2	3	3	8	10	15	24	27
Dnah7a	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	2	2	3	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	3	4	4	1	1	1	1	1	1	1	1	1	1
Pgap1	0	0	0	0	1	2	2	3	6	7	0	0	0	0	0	0	0	4	6	7	3	3	9	11	15	21	29	35	43	48	4	8	12	17	20	28	30	36	43	50	2	3	5	9	13	16	19	30	39	44	2	4	8	11	14	17	20	28	33	41
Plcl1	11	20	44	61	78	97	113	146	189	230	16	33	61	83	108	138	165	219	275	319	229	438	934	1440	1914	2374	2855	3790	4742	5665	135	322	716	1078	1442	1805	2132	2891	3603	4259	40	75	156	242	321	402	478	664	845	1034	46	76	155	228	311	389	465	602	757	925
Pard3b	13	24	45	61	93	117	136	184	242	296	12	19	35	53	83	107	132	171	211	253	0	0	0	0	1	1	4	8	12	14	1	3	4	5	9	10	11	14	18	22	1	1	5	8	11	15	20	25	34	42	0	1	9	14	23	27	32	39	44	56
Bmpr2	3	5	9	13	18	23	26	36	41	53	5	7	11	12	18	22	27	40	57	65	3	5	7	13	19	20	24	32	40	47	4	7	12	15	21	29	33	37	46	58	3	8	16	22	28	36	47	63	74	97	2	7	16	24	30	41	46	65	83	101
Pinc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xrcc5	1	3	5	8	10	11	14	17	22	26	1	1	4	7	7	8	9	14	19	30	0	1	5	9	16	18	20	27	32	37	2	2	2	5	9	12	15	25	31	34	2	5	7	12	14	19	23	27	33	37	1	2	4	7	11	17	19	22	26	34
Spag16	2	4	7	13	16	21	25	31	44	50	3	6	11	15	22	30	33	42	53	72	0	0	0	1	2	3	4	5	7	9	0	1	2	3	4	4	5	6	7	8	0	0	0	0	0	0	0	0	0	0	1	1	1	4	4	4	5	5	6	6
D530049I02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erbb4	9	23	64	98	126	152	171	226	292	355	16	34	63	101	132	157	187	252	330	394	63	122	256	383	493	614	739	981	1241	1491	41	92	188	267	369	478	583	785	1007	1234	76	165	332	507	674	837	986	1292	1620	1929	86	151	284	418	561	700	848	1106	1371	1630
Abca12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp37	3	3	5	8	9	11	15	18	22	25	0	0	1	3	6	10	12	19	23	25	1	3	5	7	9	9	10	15	21	26	1	2	4	8	12	13	16	18	19	23	1	1	3	6	8	11	14	14	16	23	3	5	8	10	10	12	13	14	19	24
Dock10	0	0	0	0	0	0	2	2	2	4	0	0	0	0	0	2	4	4	4	4	71	146	292	438	599	756	894	1202	1485	1767	64	127	257	383	505	618	767	1010	1256	1504	22	53	94	134	179	241	281	372	467	555	18	43	77	117	155	199	246	327	406	490
Dis3l2	4	8	18	22	28	38	46	54	69	82	7	13	19	30	40	51	64	85	107	124	10	15	35	42	57	73	85	111	142	161	5	10	23	29	43	54	67	94	118	140	1	5	16	23	32	38	50	72	89	102	7	10	17	21	30	33	38	47	59	77
Sh3bp4	1	1	1	3	4	6	6	7	9	9	0	0	1	1	1	1	1	3	5	5	0	2	2	2	3	5	5	5	5	5	0	1	2	4	5	6	7	8	8	8	3	8	17	29	39	48	61	84	101	118	5	12	16	24	32	42	55	71	88	105
Ugt1a9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ugt1a10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Slc16a14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	3	3	3	5	0	0	1	1	2	2	2	3	4	4
Pask	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	4	1	1	2	2	3	3	3	3	3	3	0	0	0	0	2	2	4	7	7	8
Serpinb12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdh20	17	46	84	120	162	213	259	384	475	573	29	55	124	164	205	255	306	405	511	606	39	68	114	179	229	284	330	467	591	722	22	51	102	150	215	263	313	396	493	597	20	41	87	140	193	228	285	379	466	553	17	37	89	135	175	214	252	332	412	479
Cntnap5a	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	3	4	5	5	0	0	0	0	0	0	1	2	2	3	0	1	1	2	2	2	2	3	3	3	0	0	1	2	2	2	2	2	2	3	0	0	0	0	0	0	1	2	2	2
Cdh7	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clasp1	6	12	21	33	44	60	73	104	132	163	11	16	30	43	58	72	82	128	169	202	6	12	21	24	31	38	47	55	65	78	0	2	8	13	20	27	32	42	54	64	5	9	15	27	35	43	56	74	90	107	10	14	22	32	43	47	56	77	97	115
Dpp10	0	0	0	0	0	1	2	2	2	3	1	1	1	1	2	2	2	3	3	5	0	2	5	8	11	12	12	19	21	27	1	3	8	9	9	10	11	16	20	20	12	29	64	89	121	154	194	252	313	368	19	32	65	104	141	184	207	277	345	394
Rab3gap1	3	4	5	6	10	15	21	29	34	45	0	1	2	4	7	8	13	18	21	27	2	3	8	10	13	18	22	30	41	44	1	3	4	10	13	15	23	34	40	48	1	1	4	8	10	15	19	28	32	39	0	1	3	7	9	14	18	23	28	33
Cdk18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	6	7	10	13	16	17	20	0	0	2	4	4	5	8	10	14	19	0	1	1	2	4	4	4	5	6	8	0	0	0	0	0	0	0	0	1	1
Mapkapk2	0	2	5	6	9	13	14	17	19	20	0	0	2	4	5	7	7	7	7	10	0	1	2	3	5	5	6	9	9	12	0	1	1	3	3	4	4	6	6	7	0	0	1	2	2	3	3	5	6	6	0	0	3	4	4	4	5	6	7	7
Thsd7b	0	0	0	1	1	1	1	1	1	2	0	0	1	1	1	1	2	3	3	3	0	0	1	1	1	2	2	2	2	4	0	0	0	0	1	1	1	1	1	2	6	15	23	34	47	64	71	91	116	132	4	10	21	32	53	62	73	91	115	140
Kcnt2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	1	1	2	2	2	0	0	0	0	0	0	0	2	3	4	5	7	11	21	24	33	37	46	62	77	5	11	21	28	32	37	46	58	71	86
Aspm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnpep	0	1	2	6	7	7	8	8	10	13	0	0	2	2	2	3	3	4	4	4	1	2	2	2	4	6	8	10	13	14	1	1	2	3	3	3	3	5	5	7	1	1	1	2	3	3	4	6	6	7	0	0	0	1	1	1	1	1	1	2
Camsap2	4	5	13	18	19	25	28	35	44	53	1	3	7	8	9	13	13	16	20	25	2	7	11	13	15	21	25	35	44	53	4	8	14	20	22	29	36	47	61	71	8	11	22	31	41	58	70	90	122	147	2	9	21	35	46	55	61	98	127	143
Brinp3	1	2	6	12	17	26	36	46	54	63	2	7	12	16	24	35	37	49	63	76	0	4	13	19	22	29	34	49	63	72	2	4	12	17	23	29	33	45	55	67	25	52	129	183	229	287	349	457	572	688	25	45	106	158	204	256	306	403	524	627
Pla2g4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	3	7	9	12	17	20	28	35	44	3	8	12	16	19	23	28	35	39	44	1	3	4	5	5	5	6	7	11	12	0	0	0	0	0	1	1	5	6	7
Cdc73	5	7	10	14	16	21	27	31	37	44	1	1	9	18	21	26	32	42	50	61	5	7	13	18	29	37	48	58	71	83	2	6	11	20	27	32	36	53	68	78	3	6	13	22	35	40	46	57	73	85	3	10	18	21	29	42	48	57	69	77
Rasal2	14	22	33	46	65	81	101	143	166	200	4	11	26	48	63	76	97	130	176	211	13	22	32	46	65	78	91	131	159	188	11	21	45	65	86	99	114	153	181	219	4	12	25	33	36	45	51	69	83	100	5	9	17	27	44	53	60	81	96	119
1700025G04Rik	3	8	16	29	37	44	51	64	87	102	3	4	14	21	24	32	41	61	80	97	4	8	16	24	33	36	43	63	84	99	2	4	13	23	32	40	49	63	69	85	3	5	23	33	40	49	61	77	98	118	8	14	31	42	53	63	73	95	111	135
Stx6	0	2	3	3	7	10	12	14	17	21	2	2	2	4	5	6	7	9	16	18	2	5	13	15	16	18	24	33	39	47	0	0	0	1	6	9	14	24	30	39	1	2	6	7	8	12	17	21	24	29	1	2	3	5	6	8	11	17	18	23
Nmnat2	2	5	8	11	11	12	14	19	22	29	0	0	2	3	7	10	15	21	22	23	0	0	3	4	5	6	7	10	15	20	2	3	5	6	7	8	8	10	10	14	6	18	45	67	91	108	131	177	233	290	12	21	46	71	110	138	162	214	263	306
Brinp2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	3	3	3	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	2	5	7	10	13	15	16	19	0	2	4	7	12	14	18	27	33	36
Rcsd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rabgap1l	2	2	5	14	25	32	39	58	73	93	3	5	14	22	25	27	33	54	70	83	7	15	44	69	94	119	148	207	258	309	12	23	50	72	98	128	155	192	246	290	20	43	85	116	158	184	215	289	357	418	14	36	56	86	114	135	170	230	290	343
Fcrla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Rgs7	1	1	2	3	3	3	5	5	7	8	1	1	5	7	9	9	9	12	13	15	2	2	2	5	6	8	12	19	29	36	1	1	3	5	8	12	13	15	19	20	17	29	59	81	99	115	137	176	202	237	13	27	59	83	104	129	161	223	277	339
Cnih3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	2	2	2
Itpkb	15	27	42	62	82	104	136	175	225	267	8	17	38	59	71	89	113	152	196	237	0	1	1	1	1	2	2	2	2	3	0	1	4	5	5	5	5	7	10	12	0	0	3	8	11	12	14	19	23	33	1	3	3	5	7	11	12	17	24	32
Trp53bp2	2	3	5	6	12	16	20	21	24	35	2	4	9	12	16	18	23	32	39	45	1	8	12	16	22	27	41	51	63	79	5	9	15	28	36	45	58	76	95	114	0	3	6	10	12	16	18	25	29	32	0	3	7	8	11	13	15	23	29	37
Akt3	13	32	55	85	113	131	155	206	254	310	24	40	76	111	142	179	202	257	312	375	7	12	30	49	60	76	84	111	139	168	7	17	36	52	64	77	96	113	143	176	23	42	80	109	150	183	226	297	380	450	17	41	77	116	144	184	221	310	411	500
Smyd3	9	15	22	33	48	63	78	102	129	154	5	10	16	30	43	54	73	104	122	144	11	18	43	66	77	89	106	152	180	212	6	16	29	41	61	72	81	110	142	180	8	19	36	62	81	102	123	149	199	242	13	22	49	68	90	110	133	173	216	265
Ush2a	0	0	1	2	2	2	2	3	3	3	0	0	1	1	2	2	3	3	4	4	0	0	1	1	1	3	3	6	9	10	1	1	1	1	2	3	4	4	4	5	0	0	0	0	0	1	1	2	4	5	0	0	2	3	4	5	5	6	7	10
Mir297c	0	0	0	0	0	0	0	2	2	2	0	0	0	0	1	1	2	3	7	11	0	0	0	0	0	1	1	1	1	1	0	0	2	2	2	2	2	2	3	3	0	1	2	2	5	6	7	7	8	8	0	0	0	2	2	2	2	2	2	2
Ptpn14	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	1	1	2	2	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	3	3	1	3	9	12	16	19	24	28	38	47	4	5	8	12	17	25	29	41	47	63
Tgfb2	1	1	2	2	2	3	3	3	4	4	0	0	1	2	2	2	3	3	3	3	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	2	2	2	2	4	5	5
Rps6kc1	4	7	14	17	20	24	28	33	41	49	2	2	4	10	10	11	13	27	36	43	0	3	8	10	16	18	22	26	28	33	2	3	8	13	15	18	21	26	28	36	2	5	7	10	19	26	28	35	39	52	3	7	9	18	22	25	30	40	49	56
Esrrg	6	8	13	17	24	27	29	35	46	60	4	6	8	14	21	33	39	53	59	71	0	1	3	6	7	8	11	12	23	29	1	1	3	3	4	4	4	7	7	9	2	2	6	10	12	13	18	23	30	38	2	2	3	5	10	11	13	19	25	35
A330023F24Rik	1	5	8	12	22	31	36	45	54	61	3	3	12	21	24	26	34	49	58	65	1	2	7	10	13	13	18	21	27	35	0	1	2	3	6	7	9	14	14	15	0	0	1	1	1	1	2	5	7	9	0	0	1	1	3	3	3	3	7	7
Xkr4	1	2	3	7	11	12	15	20	25	32	2	5	6	8	11	12	14	19	25	34	8	25	50	69	100	135	171	218	281	327	13	29	57	88	123	149	183	233	283	347	25	44	72	109	138	193	216	293	371	447	17	32	65	111	146	189	221	299	376	445
Rgs20	13	26	50	76	96	120	137	185	218	253	13	28	52	79	98	112	127	152	188	230	1	1	1	2	2	2	2	3	3	7	1	1	2	2	3	4	4	5	7	8	1	5	16	22	28	35	41	47	57	70	2	3	7	14	21	27	28	38	51	70
Rp1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	2	2	2	2	2	2	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	1
Atp6v1h	1	5	7	9	12	14	19	24	32	38	2	5	9	16	20	23	25	37	46	56	0	3	9	14	23	30	39	51	62	74	4	9	15	21	26	30	34	44	54	58	2	4	11	17	30	33	39	51	70	85	3	4	5	18	27	38	44	53	72	91
St18	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	2	3	3	3	3	75	161	327	517	704	882	1071	1426	1766	2155	97	187	353	549	753	949	1129	1527	1951	2348	37	70	134	203	275	346	424	549	689	822	30	53	111	171	231	289	339	446	572	693
2610203C22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	3	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Mybl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0	0	0	0	0	0	0	2	2	2	0	0	0	1	1	2	3	3	4	4	1	1	2	2	2	3	4	9	11	14
Cspp1	5	6	12	18	27	32	39	55	66	73	3	7	11	16	25	28	31	40	53	67	3	5	14	15	17	25	28	37	48	60	3	4	12	12	15	19	23	30	38	45	5	5	11	13	22	29	33	42	48	54	2	3	6	12	14	18	21	28	32	35
Sgk3	1	2	5	13	18	21	31	44	57	62	1	2	10	12	14	17	19	29	32	39	3	7	17	24	30	41	50	76	88	102	5	9	17	24	29	38	45	56	69	87	3	4	8	10	13	16	20	27	31	35	2	4	7	10	13	17	21	26	34	44
Tcf24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arfgef1	2	4	11	15	18	21	28	48	56	70	1	5	9	19	26	30	39	53	71	77	1	3	6	19	23	31	40	53	64	81	1	4	10	12	16	23	36	50	62	78	3	7	14	17	22	33	37	55	73	86	5	14	25	33	44	54	62	80	98	116
Adhfe1	2	2	2	2	2	3	3	4	4	5	0	0	0	0	2	2	2	2	4	4	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
Prex2	49	112	207	325	433	544	667	860	1076	1264	50	108	210	304	416	522	633	844	1051	1263	0	0	0	1	1	1	2	3	4	5	0	0	1	1	1	2	2	2	2	2	1	1	4	6	9	11	13	17	25	30	0	1	5	11	14	16	18	22	30	32
Mir467e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slco5a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	2	2	2	3	3	4
Ncoa2	2	8	29	40	55	71	80	110	132	158	8	12	26	44	57	70	86	106	132	157	7	18	34	51	69	82	105	157	180	216	10	17	33	48	65	81	92	122	160	192	7	11	24	32	47	60	76	103	130	160	8	11	19	26	40	50	56	81	107	130
Sulf1	7	12	30	47	58	73	85	102	121	154	7	12	20	34	48	63	74	99	127	153	0	0	0	1	1	2	2	2	2	4	0	0	0	0	0	0	0	0	0	0	1	4	7	15	17	23	31	42	50	66	4	7	11	18	21	32	40	53	66	72
Eya1	1	2	4	5	6	6	7	11	17	21	1	2	2	6	9	14	14	17	21	23	2	2	5	7	7	7	7	9	14	17	0	0	0	1	1	2	3	5	6	6	1	1	5	10	17	18	20	30	42	53	1	4	11	17	23	28	43	55	66	84
Kcnb2	1	1	1	1	1	1	1	1	1	1	0	0	2	2	2	2	2	4	4	5	0	0	0	0	3	3	3	3	3	3	0	0	1	1	1	1	1	4	5	6	6	10	20	31	42	53	57	70	87	112	6	11	23	34	48	53	66	88	98	110
Tceb1	0	0	0	0	0	0	0	1	2	4	0	1	1	1	2	2	4	5	8	8	1	2	4	6	8	8	9	15	16	17	1	2	2	4	4	5	8	9	11	12	0	0	1	1	2	4	4	4	8	9	2	2	4	6	7	7	9	10	10	10
Stau2	0	1	4	9	12	20	23	27	34	44	0	1	4	8	8	12	16	22	28	34	0	3	6	11	13	20	26	34	37	45	3	5	10	13	20	23	27	37	49	59	6	14	28	46	56	66	73	92	115	139	4	13	25	41	53	65	75	96	119	135
Sbspon	1	1	2	3	5	6	6	9	10	13	0	0	0	0	0	0	1	2	2	2	0	0	0	1	1	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rdh10	2	3	6	7	8	9	11	18	21	25	2	2	5	5	6	6	6	10	13	17	0	0	0	1	1	1	4	5	5	6	0	0	0	0	0	1	1	3	4	4	0	0	0	0	0	2	3	4	8	9	1	2	3	4	8	8	12	14	16	17
Jph1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	2	6	14	23	33	41	53	71	92	126	155	8	16	26	40	53	73	88	117	155	183	1	4	5	5	5	5	6	9	9	11	0	0	2	2	3	3	3	8	13	15
Gm16070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	2	2	3	0	0	0	0	0	0	1	1	2	2
Pkhd1	0	0	0	0	1	2	2	3	5	5	0	0	0	0	1	1	2	3	3	3	0	0	3	3	3	4	4	6	7	7	0	0	0	1	3	4	5	9	10	13	0	0	1	2	6	7	8	8	10	11	0	0	3	4	5	6	6	8	9	12
